Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
10/08/2024;0;23,1;24,3;23;40;41;36;8,9;9,1;8,1;933,4;933,4;932,8;0;51;1,5;;0
10/08/2024;100;22,5;23,4;22,3;46;47;40;10,3;10,4;8,9;933,8;933,8;933,4;0,7;9;1,6;;0
10/08/2024;200;21,5;22,5;20,6;50;54;46;10,8;11,1;10,1;934;934;933,7;0,1;80;1,6;;0
10/08/2024;300;20,5;21,9;20;54;56;49;10,9;11,2;10,7;934,3;934,4;933,9;1,4;161;4,2;;0
10/08/2024;400;20,9;21,5;20,3;57;57;53;12;12;10,9;934,4;934,5;934,2;2,6;186;8,5;;0
10/08/2024;500;18,8;20,9;18,8;71;71;57;13,4;13,4;12;934,4;934,5;934,3;2,8;211;6,4;;0
10/08/2024;600;16;18,6;16;78;78;72;12,2;13,4;12,1;935;935,1;934,5;3,8;202;7,7;;0
10/08/2024;700;14;16;14;81;81;78;10,9;12,2;10,9;935,9;935,9;935;4,1;207;7,6;;0
10/08/2024;800;13,9;14;13,7;81;83;81;10,7;10,9;10,7;936,1;936,1;935,8;1,6;185;7,6;;0
10/08/2024;900;13,5;13,9;13,5;81;81;80;10,2;10,7;10,2;936,1;936,2;935,8;2,4;194;4,7;;0
10/08/2024;1000;13,1;13,5;13,1;84;84;81;10,5;10,5;10,2;936,5;936,5;936,1;2,1;196;4,9;7,6;0
10/08/2024;1100;13,4;13,4;13,1;86;86;83;11;11;10,4;937,2;937,2;936,5;1,7;168;4,5;65;0
10/08/2024;1200;14,2;14,3;13,2;74;86;74;9,7;11;9,7;937,8;937,9;937,2;1,9;181;5,9;265,4;0
10/08/2024;1300;15,8;15,8;14,1;67;74;66;9,6;9,8;9,2;938;938,1;937,8;2,4;126;5,2;677,9;0
10/08/2024;1400;16,6;16,8;15,7;63;67;62;9,5;9,9;9;937,5;938;937,5;2,8;170;5,7;1231;0
10/08/2024;1500;18,9;18,9;16,5;57;65;56;10,1;10,2;9,1;936,8;937,6;936,8;2,3;172;6,4;1493,5;0
10/08/2024;1600;20;21,1;18,5;51;56;48;9,4;10,4;9,1;935,7;936,8;935,7;2,2;178;5,5;2533,2;0
10/08/2024;1700;22,6;23;19,8;45;53;45;10,1;10,8;9,4;934,5;935,7;934,5;1,5;208;4,7;2421,6;0
10/08/2024;1800;24,9;24,9;22,4;42;46;41;11;11,2;9,8;933,7;934,5;933,7;1,5;155;5,7;1982,3;0
10/08/2024;1900;23,6;25;23,6;44;44;41;10,6;11;10,1;933,5;933,7;933,5;1,7;193;5,9;1202,8;0
10/08/2024;2000;22,7;24,1;22,7;47;47;42;10,8;11;10,3;933,6;933,6;933,4;1,8;183;4,3;328,7;0
10/08/2024;2100;20,5;22,7;20,5;48;49;46;9,2;10,8;9,2;933,9;933,9;933,6;2,3;153;6,7;66,7;0
10/08/2024;2200;19,1;20,5;19,1;43;49;42;6,3;9,2;6,2;934,2;934,2;933,9;1,4;157;5,8;;0
10/08/2024;2300;17,9;19,1;17,9;45;45;42;5,8;6,4;5,8;934,7;934,7;934,2;1;124;3,4;;0
11/08/2024;0;16,5;17,9;16,5;48;48;45;5,4;5,9;5,4;935,1;935,1;934,7;0,5;128;3,1;;0
11/08/2024;100;15,7;16,6;15,7;50;50;47;5,4;5,6;5,2;935,1;935,2;935,1;0,7;135;3;;0
11/08/2024;200;14,5;15,7;14,5;54;54;50;5,2;5,6;5,2;935,1;935,2;935,1;0,6;120;2,1;;0
11/08/2024;300;13,6;14,8;13,6;59;59;52;5,8;5,8;5;935;935,2;935;0,7;166;2,8;;0
11/08/2024;400;12,9;13,6;12,9;64;64;59;6,2;6,2;5,7;934,7;935,1;934,7;0,9;150;2,4;;0
11/08/2024;500;12,2;12,9;12,2;68;68;63;6,4;6,6;6;934,3;934,7;934,3;0,5;129;2,5;;0
11/08/2024;600;11,9;12,3;11,8;69;72;68;6,5;7,1;6,4;934,3;934,3;934,2;0,9;116;2,2;;0
11/08/2024;700;11,4;12;11,4;68;70;68;5,7;6,5;5,7;934,3;934,4;934,2;0,8;134;2,5;;0
11/08/2024;800;10,2;11,4;10,2;73;73;68;5,6;5,9;5,6;934,4;934,4;934,3;0,8;129;3,2;;0
11/08/2024;900;10,3;10,4;10,1;70;74;70;5,2;5,6;5,1;935;935;934,4;1,6;113;3,6;;0
11/08/2024;1000;10,1;10,3;9,7;70;71;70;4,9;5,2;4,8;935,1;935,3;935;1,3;119;3,6;24,9;0
11/08/2024;1100;12,6;12,6;10,1;64;70;64;6;6,1;4,8;935,8;935,8;935,2;2,2;142;5;386,1;0
11/08/2024;1200;15,6;15,9;12,6;56;65;55;6,9;7,1;5,9;936;936,1;935,7;1,9;173;4,7;1183,7;0
11/08/2024;1300;19,9;20,1;15,6;41;56;41;6,3;7,2;6;936,2;936,2;936;1,2;125;4,2;2143,2;0
11/08/2024;1400;22,7;23;19,6;35;42;34;6,3;7,3;5,8;935,9;936,3;935,9;1,6;188;4,4;2605,5;0
11/08/2024;1500;25,3;25,7;22,2;30;35;30;6,4;7,2;5,7;935,1;935,9;935,1;1,3;236;3,8;2812,4;0
11/08/2024;1600;26,8;28,3;24,5;27;31;25;6,2;7,7;5,7;934;935,1;934;1,4;206;3,5;2757;0
11/08/2024;1700;29,6;29,7;26,5;24;28;24;7,1;7,4;5,8;932,8;934;932,8;1,4;274;3,9;2512,6;0
11/08/2024;1800;29,8;30,8;29,3;24;25;23;6,9;8;6,4;932,3;932,8;932,3;2,3;254;5,5;2034,8;0
11/08/2024;1900;29,3;30,8;29,2;22;25;22;5,6;7,5;5,2;932,5;932,5;932,2;2,5;246;8;1338,6;0
11/08/2024;2000;27,3;29,4;27,3;26;26;22;6,3;6,5;5,3;933;933;932,5;2,4;242;8;352,7;0
11/08/2024;2100;24,6;27,3;24,4;30;30;26;5,9;6,5;5,5;933,4;933,4;933;1,4;233;5,9;51,1;0
11/08/2024;2200;23;24,6;22,8;32;33;30;5,4;6,2;5,4;934,4;934,4;933,4;0,9;204;4;;0
11/08/2024;2300;21,6;23,7;21,6;28;32;24;2,2;5,2;1,2;935;935;934,4;0,7;91;5;;0
12/08/2024;0;19,9;21,4;19,8;30;31;27;1,9;2,2;1,6;935,6;935,6;935;0,8;102;2,4;;0
12/08/2024;100;17,7;20,1;17,6;37;40;30;2,8;3,8;1,9;936,1;936,1;935,6;0,5;87;2,2;;0
12/08/2024;200;16,5;18,1;16,5;38;38;35;2,2;3;1,8;936,4;936,4;936,1;0;79;1,6;;0
12/08/2024;300;14,7;16,5;14,7;43;43;38;2,3;2,7;1,8;936,3;936,4;936,3;0;148;0,5;;0
12/08/2024;400;13,6;14,6;13,4;51;51;43;3,6;3,7;2,4;936;936,3;935,9;0;9;0,7;;0
12/08/2024;500;11,9;13,4;11,9;67;67;50;6;6,2;3,1;935,9;936,1;935,9;0;68;0;;0
12/08/2024;600;10,6;11,9;10,6;73;74;67;5,9;6,9;5,9;935,9;936;935,8;0;205;0;;0
12/08/2024;700;10,2;11;9,7;77;79;71;6,3;6,7;5,5;936;936;935,9;0;16;0;;0
12/08/2024;800;9,1;10,3;8,8;80;82;77;5,8;6,5;5,5;936,3;936,3;935,9;0;35;0;;0
12/08/2024;900;9;9,3;8,3;68;83;68;3,4;6;3,4;937,2;937,2;936,3;0,9;120;2,3;;0
12/08/2024;1000;9,6;9,6;8,9;70;70;66;4,4;4,4;3;937,6;937,6;937,2;0,8;116;2,3;30,1;0
12/08/2024;1100;13,6;13,6;9,6;55;70;55;4,6;5,6;4,2;938;938;937,6;0,4;158;2;391,6;0
12/08/2024;1200;18;18,2;13,6;28;55;28;-0,9;5,6;-0,9;938,4;938,4;937,9;1,5;156;2,9;1149,7;0
12/08/2024;1300;22,6;22,6;18;23;29;23;0,6;0,8;-1,3;938,5;938,5;938,4;1,8;150;4,8;2097,6;0
12/08/2024;1400;24,4;24,4;21,8;20;24;18;-0,4;0,5;-1,6;938,3;938,7;938,3;1,9;154;5,3;2607,9;0
